"Player","Roster"
"Luka Doncic",17.12
"Nikola Jokic",7.44
"Jarrett Allen",6.79
"Tyrese Haliburton",10.31
"Jamal Murray",11.46
"Bam Adebayo",7.83
"Nikola Vucevic",7.45
"Cade Cunningham",18.38
"Immanuel Quickley",19.68
"Miles Bridges",5.2
"Donovan Mitchell",9.58
"Kyrie Irving",18.15
"DeMar DeRozan",17.73
"Kelly Olynyk",6.19
"Paolo Banchero",10.2
"Zion Williamson",11.48
"Jimmy Butler",12.07
"Pascal Siakam",19.88
"Jalen Duren",13.24
"Coby White",6.16
"Brandon Ingram",13.71
"Terry Rozier",9.65
"Nicolas Claxton",5.71
"Franz Wagner",8.08
"Jaden Ivey",12.99
"Chris Paul",8.27
"Mikal Bridges",10.21
"Myles Turner",14.82
"Jonathan Kuminga",4.57
"Draymond Green",11.87
"Darius Garland",8.3
"Brandon Miller",4.24
"Brandin Podziemski",3.45
"Nick Richards",4.17
"C.J. McCollum",8.73
"Caris LeVert",6.68
"Ayo Dosunmu",12.49
"Dennis Schroder",8.37
"Michael Porter",11.2
"Bruce Brown",23.69
"Klay Thompson",15.37
"Cameron Thomas",4.19
"Jordan Goodwin",8.31
"Alex Caruso",12.12
"Santi Aldama",4.62
"Isaiah Stewart",13.71
"Tre Mann",6.06
"Trayce Jackson-Davis",1.5
"Gary Trent",18.4
"Simone Fontecchio",7.01
"Aaron Gordon",7.76
"Vasilije Micic",1.61
"Grant Williams",6.32
"Andrew Wiggins",14.97
"Trey Murphy",6.97
"Duncan Robinson",6.72
"Wendell Carter",4.6
"P.J. Washington",10.95
"Daniel Gafford",11.9
"Cole Anthony",9.76
"John Konchar",7.09
"Aaron Nesmith",9.02
"GG Jackson",1.49
"Isaac Okoro",5.42
"Jalen Suggs",4.49
"Herbert Jones",9.37
"Dorian Finney-Smith",6.89
"Caleb Martin",5.37
"Gradey Dick",3
"Jake LaRavia",1.82
"Trey Jemison",1.14
"Luke Kennard",5.67
"Jonas Valanciunas",4.26
"Andrew Nembhard",7.87
"T.J. McConnell",10.54
"Cameron Johnson",5.66
"Davis Bertans",2.46
"Larry Nance",9.96
"Kentavious Caldwell-Pope",4.92
"Lamar Stevens",3.96
"Nikola Jovic",3.12
"Jalen Smith",7.89
"Georges Niang",3.96
"Andre Drummond",2.09
"Marcus Sasser",2.36
"James Wiseman",3.15
"Jaime Jaquez",1.59
"Jonathan Isaac",10.74
"Jontay Porter",0.75
"Ochai Agbaji",4.01
"Dereck Lively",0.74
"Jose Alvarado",4.04
"Obi Toppin",3.05
"DeJon Jarreau",1.07
"Peyton Watson",2.48
"Sam Merrill",1.94
"Dante Exum",1.38
"Gary Harris",2.68
"Moritz Wagner",4.63
"Day'Ron Sharpe",1.5
"Quentin Grimes",7.63
"Tim Hardaway",8.26
"Jalen McDaniels",4.28
"Markelle Fultz",4.49
"Naji Marshall",2.68
"Josh Green",5.11
"Moses Moody",2.85
"Christian Braun",3.46
"Ben Sheppard",1.06
"Jordan Nwora",3.31
"Gary Payton",3.47
"Dennis Smith",3.13
"Evan Fournier",3.07
"Derrick Jones",2.2
"Maxi Kleber",3.64
"Torrey Craig",2.07
"Joe Ingles",2.69
"Lonnie Walker",2.93
"Wenyen Gabriel",0.68
"Javon Freeman-Liberty",0.58
"Damian Jones",1.04
"Reggie Jackson",1.28
"Onuralp Bitim",0.33
"Patrick Mills",1.65
"Isaiah Mobley",1.13
"Zeke Nnaji",0.56
"Jevon Carter",2.3
"Jalen Wilson",0.17
"Orlando Robinson",0.48
"Justin Holiday",1.03
"Aleksej Pokusevski",2.53
"J.T. Thor",1.17
"Jarace Walker",0.09
"Haywood Highsmith",0.77
"Isaiah Jackson",0.89
"Julian Phillips",0.07
"Stanley Umude",1.32
"Nick Smith",0.01
"Craig Porter",0
"Jamal Cain",0
"Jaden Hardy",0
"Jerome Robinson",0
"Kevon Harris",0
"Caleb Houstan",0
"Alondes Williams",0
"Delon Wright",0
"Seth Curry",0
"Pat Spencer",0
"Lester Quinones",0
"Gui Santos",0
"Jacob Gilyard",0
"Vince Williams",0
"Quenton Jackson",0
"Bennedict Mathurin",0
"Kendall Brown",0
"Jakob Poeltl",0
"Jahmi'us Ramsey",0
"Mouhamadou Gueye",0
"D.J. Carton",0
"Jalen Pickett",0
"Hunter Tyson",0
"Julian Strawther",0
"Leaky Black",0
"Amari Bailey",0
"Jeremiah Robinson-Earl",0
"Ben Simmons",0
"Jaylen Martin",0
"Dariq Whitehead",0
"Noah Clowney",0
"Isaiah Wong",0
"Oscar Tshiebwe",0
"Tosan Evbuomwan",0
"Ausar Thompson",0
"Tyler Herro",0
"Adama Sanogo",0
"Olivier-Maxence Prosper",0
"Marques Bolden",0
"LaMelo Ball",0
"Pete Nance",0
"Emoni Bates",0
"Marcus Smart",0
"Greg Brown",0
"Jett Howard",0
"Anthony Black",0
"Chris Boucher",0
"Jordan Hawkins",0
"Alex Fudge",0
"Trendon Watford",0
"Dyson Daniels",0
"Collin Gillespie",0
"Kevon Looney",0
"Garrett Temple",0
"Malachi Flynn",0
"Trevelin Queen",0
